,league_title,date,time,game_state,game_title,home_team,home_team_score,away_team_score,away_team
0,리그 오브 레전드 월드 챔피언십,2022-10-01,05:00,종료,플레이인,Fnatic,1,0,DetonatioN FocusMe
1,리그 오브 레전드 월드 챔피언십,2022-10-01,06:00,종료,플레이인,Evil Geniuses,1,0,LOUD
2,리그 오브 레전드 월드 챔피언십,2022-10-01,07:00,종료,플레이인,Saigon Buffalo,1,0,Isurus Gaming
3,리그 오브 레전드 월드 챔피언십,2022-10-01,08:00,종료,플레이인,DetonatioN FocusMe,1,0,Chiefs Esports Club
4,리그 오브 레전드 월드 챔피언십,2022-10-01,09:00,종료,플레이인,Evil Geniuses,1,0,Beyond Gaming
5,리그 오브 레전드 월드 챔피언십,2022-10-01,10:00,종료,플레이인,DRX,1,0,Saigon Buffalo
6,리그 오브 레전드 월드 챔피언십,2022-10-01,11:00,종료,플레이인,MAD Lions,0,1,Royal Never Give Up
7,리그 오브 레전드 월드 챔피언십,2022-10-01,12:00,종료,플레이인,istanbul Wildcats,0,1,DRX
8,리그 오브 레전드 월드 챔피언십,2022-10-02,05:00,종료,플레이인,LOUD,1,0,Fnatic
9,리그 오브 레전드 월드 챔피언십,2022-10-02,06:00,종료,플레이인,MAD Lions,1,0,Saigon Buffalo
10,리그 오브 레전드 월드 챔피언십,2022-10-02,07:00,종료,플레이인,Beyond Gaming,0,1,DetonatioN FocusMe
11,리그 오브 레전드 월드 챔피언십,2022-10-02,08:00,종료,플레이인,Evil Geniuses,1,0,Chiefs Esports Club
12,리그 오브 레전드 월드 챔피언십,2022-10-02,09:00,종료,플레이인,Royal Never Give Up,1,0,Isurus Gaming
13,리그 오브 레전드 월드 챔피언십,2022-10-02,10:00,종료,플레이인,Chiefs Esports Club,0,1,Beyond Gaming
14,리그 오브 레전드 월드 챔피언십,2022-10-02,11:00,종료,플레이인,Royal Never Give Up,1,0,istanbul Wildcats
15,리그 오브 레전드 월드 챔피언십,2022-10-02,12:00,종료,플레이인,Isurus Gaming,0,1,DRX
16,리그 오브 레전드 월드 챔피언십,2022-10-03,05:00,종료,플레이인,Beyond Gaming,0,1,Fnatic
17,리그 오브 레전드 월드 챔피언십,2022-10-03,06:00,종료,플레이인,LOUD,1,0,Chiefs Esports Club
18,리그 오브 레전드 월드 챔피언십,2022-10-03,07:00,종료,플레이인,DetonatioN FocusMe,1,0,Evil Geniuses
19,리그 오브 레전드 월드 챔피언십,2022-10-03,08:00,종료,플레이인,istanbul Wildcats,0,1,Isurus Gaming
20,리그 오브 레전드 월드 챔피언십,2022-10-03,09:00,종료,플레이인,DRX,1,0,MAD Lions
21,리그 오브 레전드 월드 챔피언십,2022-10-03,10:00,종료,플레이인,Royal Never Give Up,1,0,Saigon Buffalo
22,리그 오브 레전드 월드 챔피언십,2022-10-03,11:00,종료,타이브레이커,Evil Geniuses,1,0,DetonatioN FocusMe
23,리그 오브 레전드 월드 챔피언십,2022-10-03,12:00,종료,타이브레이커,LOUD,0,1,Evil Geniuses
24,리그 오브 레전드 월드 챔피언십,2022-10-04,03:00,종료,플레이인 녹아웃,Saigon Buffalo,1,3,MAD Lions
25,리그 오브 레전드 월드 챔피언십,2022-10-04,08:00,종료,플레이인 녹아웃,LOUD,1,3,DetonatioN FocusMe
26,리그 오브 레전드 월드 챔피언십,2022-10-05,03:00,종료,플레이인 녹아웃,Evil Geniuses,3,0,MAD Lions
27,리그 오브 레전드 월드 챔피언십,2022-10-05,08:00,종료,플레이인 녹아웃,Royal Never Give Up,3,1,DetonatioN FocusMe
28,리그 오브 레전드 월드 챔피언십,2022-10-08,06:00,종료,그룹스테이지,Cloud9,0,1,Fnatic
29,리그 오브 레전드 월드 챔피언십,2022-10-08,07:00,종료,그룹스테이지,G2 Esports,0,1,담원 기아
30,리그 오브 레전드 월드 챔피언십,2022-10-08,08:00,종료,그룹스테이지,CTBC Flying Oyster,1,0,100 Thieves
31,리그 오브 레전드 월드 챔피언십,2022-10-08,09:00,종료,그룹스테이지,JD Gaming,1,0,Evil Geniuses
32,리그 오브 레전드 월드 챔피언십,2022-10-08,10:00,종료,그룹스테이지,T1,1,0,Edward Gaming
33,리그 오브 레전드 월드 챔피언십,2022-10-08,11:00,종료,그룹스테이지,젠지,0,1,Royal Never Give Up
34,리그 오브 레전드 월드 챔피언십,2022-10-09,06:00,종료,그룹스테이지,Rogue,1,0,DRX
35,리그 오브 레전드 월드 챔피언십,2022-10-09,07:00,종료,그룹스테이지,Evil Geniuses,0,1,G2 Esports
36,리그 오브 레전드 월드 챔피언십,2022-10-09,08:00,종료,그룹스테이지,Fnatic,1,0,T1
37,리그 오브 레전드 월드 챔피언십,2022-10-09,09:00,종료,그룹스테이지,Edward Gaming,1,0,Cloud9
38,리그 오브 레전드 월드 챔피언십,2022-10-09,10:00,종료,그룹스테이지,Top Esports,1,0,GAM eSports
39,리그 오브 레전드 월드 챔피언십,2022-10-09,11:00,종료,그룹스테이지,담원 기아,0,1,JD Gaming
40,리그 오브 레전드 월드 챔피언십,2022-10-10,06:00,종료,그룹스테이지,GAM eSports,0,1,Rogue
41,리그 오브 레전드 월드 챔피언십,2022-10-10,07:00,종료,그룹스테이지,100 Thieves,0,1,젠지
42,리그 오브 레전드 월드 챔피언십,2022-10-10,08:00,종료,그룹스테이지,Edward Gaming,1,0,Fnatic
43,리그 오브 레전드 월드 챔피언십,2022-10-10,09:00,종료,그룹스테이지,Cloud9,0,1,T1
44,리그 오브 레전드 월드 챔피언십,2022-10-10,10:00,종료,그룹스테이지,Royal Never Give Up,1,0,CTBC Flying Oyster
45,리그 오브 레전드 월드 챔피언십,2022-10-10,11:00,종료,그룹스테이지,DRX,1,0,Top Esports
46,리그 오브 레전드 월드 챔피언십,2022-10-11,06:00,종료,그룹스테이지,JD Gaming,1,0,G2 Esports
47,리그 오브 레전드 월드 챔피언십,2022-10-11,07:00,종료,그룹스테이지,Rogue,1,0,Top Esports
48,리그 오브 레전드 월드 챔피언십,2022-10-11,08:00,종료,그룹스테이지,담원 기아,1,0,Evil Geniuses
49,리그 오브 레전드 월드 챔피언십,2022-10-11,09:00,종료,그룹스테이지,100 Thieves,0,1,Royal Never Give Up
50,리그 오브 레전드 월드 챔피언십,2022-10-11,10:00,종료,그룹스테이지,젠지,1,0,CTBC Flying Oyster
51,리그 오브 레전드 월드 챔피언십,2022-10-11,11:00,종료,그룹스테이지,GAM eSports,0,1,DRX
52,리그 오브 레전드 월드 챔피언십,2022-10-14,04:00,종료,그룹스테이지,Fnatic,0,1,Cloud9
53,리그 오브 레전드 월드 챔피언십,2022-10-14,05:00,종료,그룹스테이지,T1,1,0,Fnatic
54,리그 오브 레전드 월드 챔피언십,2022-10-14,06:00,종료,그룹스테이지,Cloud9,0,1,Edward Gaming
55,리그 오브 레전드 월드 챔피언십,2022-10-14,07:00,종료,그룹스테이지,Fnatic,0,1,Edward Gaming
56,리그 오브 레전드 월드 챔피언십,2022-10-14,08:00,종료,그룹스테이지,T1,1,0,Cloud9
57,리그 오브 레전드 월드 챔피언십,2022-10-14,09:00,종료,그룹스테이지,Edward Gaming,0,1,T1
58,리그 오브 레전드 월드 챔피언십,2022-10-15,04:00,종료,그룹스테이지,G2 Esports,0,1,Evil Geniuses
59,리그 오브 레전드 월드 챔피언십,2022-10-15,05:00,종료,그룹스테이지,Evil Geniuses,0,1,JD Gaming
60,리그 오브 레전드 월드 챔피언십,2022-10-15,06:00,종료,그룹스테이지,담원 기아,1,0,G2 Esports
61,리그 오브 레전드 월드 챔피언십,2022-10-15,07:00,종료,그룹스테이지,G2 Esports,0,1,JD Gaming
62,리그 오브 레전드 월드 챔피언십,2022-10-15,08:00,종료,그룹스테이지,Evil Geniuses,0,1,담원 기아
63,리그 오브 레전드 월드 챔피언십,2022-10-15,09:00,종료,그룹스테이지,JD Gaming,0,1,담원 기아
64,리그 오브 레전드 월드 챔피언십,2022-10-15,10:00,종료,타이브레이커,담원 기아,0,1,JD Gaming
65,리그 오브 레전드 월드 챔피언십,2022-10-16,04:00,종료,그룹스테이지,Rogue,1,0,GAM eSports
66,리그 오브 레전드 월드 챔피언십,2022-10-16,05:00,종료,그룹스테이지,GAM eSports,1,0,Top Esports
67,리그 오브 레전드 월드 챔피언십,2022-10-16,06:00,종료,그룹스테이지,DRX,1,0,Rogue
68,리그 오브 레전드 월드 챔피언십,2022-10-16,07:00,종료,그룹스테이지,DRX,1,0,GAM eSports
69,리그 오브 레전드 월드 챔피언십,2022-10-16,08:00,종료,그룹스테이지,Top Esports,1,0,Rogue
70,리그 오브 레전드 월드 챔피언십,2022-10-16,09:00,종료,그룹스테이지,Top Esports,1,0,DRX
71,리그 오브 레전드 월드 챔피언십,2022-10-16,10:00,종료,타이브레이커,DRX,1,0,Rogue
72,리그 오브 레전드 월드 챔피언십,2022-10-17,04:00,종료,그룹스테이지,100 Thieves,1,0,CTBC Flying Oyster
73,리그 오브 레전드 월드 챔피언십,2022-10-17,05:00,종료,그룹스테이지,CTBC Flying Oyster,0,1,젠지
74,리그 오브 레전드 월드 챔피언십,2022-10-17,06:00,종료,그룹스테이지,Royal Never Give Up,1,0,100 Thieves
75,리그 오브 레전드 월드 챔피언십,2022-10-17,07:00,종료,그룹스테이지,젠지,1,0,100 Thieves
76,리그 오브 레전드 월드 챔피언십,2022-10-17,08:00,종료,그룹스테이지,CTBC Flying Oyster,0,1,Royal Never Give Up
77,리그 오브 레전드 월드 챔피언십,2022-10-17,09:00,종료,그룹스테이지,Royal Never Give Up,0,1,젠지
78,리그 오브 레전드 월드 챔피언십,2022-10-17,10:00,종료,타이브레이커,젠지,1,0,Royal Never Give Up
