,season_title,ranking,team_name,win_count,lose_count,goal_difference,winning_rate,kda_score,kill_count,death_count,assist_count
0,2022 LCK 스프링,1,T1,18,0,29,1,4.86,686,686,686
1,2022 LCK 스프링,2,젠지,15,3,18,0.83,4.39,567,567,567
2,2022 LCK 스프링,3,담원 기아,11,7,12,0.61,4.16,514,514,514
3,2022 LCK 스프링,4,DRX,11,7,3,0.61,3.04,450,450,450
4,2022 LCK 스프링,5,프레딧,8,10,-3,0.44,3.42,485,485,485
5,2022 LCK 스프링,5,광동,8,10,-3,0.44,3.89,480,480,480
6,2022 LCK 스프링,7,KT,7,11,-5,0.39,3.09,517,517,517
7,2022 LCK 스프링,8,농심,5,13,-13,0.28,2.53,469,469,469
8,2022 LCK 스프링,9,리브 샌박,4,14,-19,0.22,1.86,353,353,353
9,2022 LCK 스프링,10,한화생명,3,15,-19,0.17,2.52,420,420,420
