,season_title,ranking,team_name,win_count,lose_count,goal_difference,winning_rate,kda_score,kill_count,death_count,assist_count
0,2022 LCK 서머,1,젠지,17,1,30,0.94,5.89,564,564,564
1,2022 LCK 서머,2,T1,15,3,18,0.83,4.11,544,544,544
2,2022 LCK 서머,3,리브 샌박,13,5,13,0.72,4.57,554,554,554
3,2022 LCK 서머,4,담원 기아,10,8,7,0.56,4.26,501,501,501
4,2022 LCK 서머,5,KT,10,8,5,0.56,4.21,555,555,555
5,2022 LCK 서머,6,DRX,9,9,-1,0.5,3.33,532,532,532
6,2022 LCK 서머,7,광동,6,12,-16,0.33,2.67,374,374,374
7,2022 LCK 서머,8,농심,5,13,-14,0.28,2.98,461,461,461
8,2022 LCK 서머,9,프레딧,3,15,-20,0.17,2.42,360,360,360
9,2022 LCK 서머,10,한화생명,2,16,-22,0.11,1.82,342,342,342
